Date,Institution,Rates
12/1/2024,CIMB,0.0255
12/1/2024,MayBank,0.025
12/1/2024,Bank of China,0.026
3/29/2025,Bank of China,0.0235
3/29/2025,Hong Leong,0.024
3/29/2025,OCBC,0.021
4/17/2025,MayBank,0.0235
4/17/2025,DBS/POSB,0.0245
4/17/2025,CIMB,0.02
4/17/2025,Hong Leong,0.0215
4/17/2025,UOB,0.02
4/17/2025,OCBC,0.02
6/6/2025,Bank of China,0.021
6/6/2025,CIMB,0.0185
6/6/2025,HSBC,0.0135
6/6/2025,Hong Leong,0.018
6/6/2025,MayBank,0.018
6/6/2025,OCBC,0.0175
7/11/2025,MayBank,0.0205
7/11/2025,DBS/POSB,0.0245
7/11/2025,SIF,0.0185
8/30/2025,DBS/POSB,0.016
8/30/2025,OCBC,0.0135
8/30/2025,Bank of China,0.0155
9/8/2025,DBS/POSB,0.016
9/8/2025,OCBC,0.0115
9/8/2025,Bank of China,0.014
9/8/2025,CIMB,0.0115
9/8/2025,Hong Leong,0.0115
9/8/2025,ICBC,0.0125
10/1/2025,Bank of China (Mobile banking promo),0.012
10/1/2025,Citibank,0.007
10/1/2025,CIMB (Personal banking),0.011
10/1/2025,DBS/POSB,0.016
10/1/2025,HSBC (Personal banking),0.0065
10/1/2025,Hong Leong Finance,0.012
10/1/2025,ICBC (E-banking),0.011
10/1/2025,Maybank (iSAVvy Online),0.011
10/1/2025,OCBC (Online),0.0115
10/1/2025,OCBC (Branch Placement),0.011
10/1/2025,RHB (Personal banking),0.011
10/1/2025,RHB (Premier banking),0.0115
10/1/2025,Standard Chartered,0.006
10/1/2025,SBI,0.007
10/1/2025,Sing Investments & Finance LTD (SIF) (Online),0.0115
11/1/2025,DBS/POSB,0.0245
11/1/2025,Maybank,0.0205
12/24/2025,Maybank,0.012
12/24/2025,Bank of China,0.012
12/24/2025,DBS/POSB,0.01
4/10/2026,Bank of China,0.0135
4/10/2026,HSBC,0.0125
4/10/2026,Hong Leong Finance,0.012
4/10/2026,DBS/POSB,0.01
1/1/2026,Bank of China,0.0135
2/1/2026,Bank of China,0.0135
3/1/2026,Bank of China,0.0135
5/1/2026,Bank of China (Mobile Banking),0.014
5/1/2026,RHB (Personal Banking),0.014
5/1/2026,ICBC (E-banking),0.0135
5/1/2026,CIMB (Personal Banking),0.013
7/9/2026,Bank of China (mobile banking promo),0.015
7/9/2026,CIMB (personal),0.0145
7/9/2026,Hong Leong Finance ,0.013
7/9/2026,ICBC,0.013
7/9/2026,RHB,0.0145
7/9/2026,Standard Chartered,0.013
7/9/2026,UOB,0.013
